features,importance
I2C_DESIGNWARE_PLATFORM,0.0
USB_GSPCA_ETOMS,0.0
SND_SOC_CS35L33,0.0
XILINX_XADC,0.0
MSDOS_FS,0.0
ACERHDF,0.0
I2C_DESIGNWARE_SLAVE,0.0
6LOWPAN_GHC_EXT_HDR_ROUTE,0.0
SND_SOC_CS35L34,0.0
MFD_INTEL_LPSS_ACPI,0.0
AD8366,0.0
VFAT_FS,0.0
I2C_SLAVE,0.0
ATM_IDT77252_RCV_ALL,0.0
ELF_CORE,0.0
PCI_ENDPOINT_CONFIGFS,0.0
USB_COMMON,0.0
USB_GSPCA_CONEX,0.0
SND_SOC_AK5386,0.0
INTEL_ISH_HID,0.0
USB_GADGET_DEBUG_FS,0.0
MV_XOR,0.0
TI_TLC4541,0.0
KALLSYMS_BASE_RELATIVE,0.0
VIPERBOARD_ADC,0.0
SND_SOC_ALC5623,0.0
TWL6030_GPADC,0.0
I2C_DESIGNWARE_CORE,0.0
KVM_GENERIC_DIRTYLOG_READ_PROTECT,0.0
CONSOLE_POLL,0.0
VMD,0.0
USB_GSPCA_DTCS033,0.0
SND_SOC_CS35L32,0.0
USB_GSPCA_CPIA1,0.0
W1_CON,0.0
SND_SSCAPE,0.0
CRYPTO_FIPS,0.0
MFD_INTEL_LPSS,0.0
W1_MASTER_MATROX,0.0
SND_WAVEFRONT,0.0
CRYPTO_MANAGER_DISABLE_TESTS,0.0
ACER_WMI,0.0
SND_MSND_PINNACLE,0.0
CRYPTO_ALGAPI2,0.0
W1_MASTER_DS2482,0.0
ATM_IDT77252_DEBUG,0.0
SND_MSND_CLASSIC,0.0
SND_SOC_WM8776,0.0
CRYPTO_AEAD2,0.0
W1_MASTER_MXC,0.0
W1_MASTER_DS2490,0.0
USB_GSPCA_FINEPIX,0.0
SND_SOC_CS35L35,0.0
NBPFAXI_DMA,0.0
ATLAS_PH_SENSOR,0.0
GPIO_74X164,0.0
SND_SB8,0.0
GPIO_MAX7301,0.0
SND_SB16,0.0
ASYNC_CORE,0.0
SND_SBAWE,0.0
GPIO_PISOSR,0.0
SND_SBAWE_SEQ,0.0
GPIO_XRA1403,0.0
SND_SYNTH_EMUX,0.0
GPIO_VIPERBOARD,0.0
SND_SB16_CSP,0.0
SND_SOC_CS4270,0.0
GPIO_MC33880,0.0
VIDEO_SAA6588,0.0
VIDEO_NOON010PC30,0.0
RTL8192CU,0.0
RADIO_ADAPTERS,0.0
VIDEO_M5MOLS,0.0
TI_ADC128S052,0.0
RTLWIFI_USB,0.0
LEDS_TRIGGER_MTD,0.0
PPP_SYNC_TTY,0.0
VIDEO_S5K6AA,0.0
RTLWIFI_DEBUG,0.0
DVB_BT8XX,0.0
VIDEO_S5K6A3,0.0
RTL8XXXU,0.0
