,System,Algorithm,Feature Selection,Technique,N=50,N=80,N=90
0,Dune,LinearRegression,None,twise,17.04,14.42,14.69
1,Dune,LinearRegression,RandomForest,twise,18.56,16.50,17.02
2,Dune,Lasso,None,twise,16.72,14.41,14.34
3,Dune,Lasso,RandomForest,twise,18.29,15.87,16.74
4,Dune,Ridge,None,twise,15.91,13.93,13.82
5,Dune,Ridge,RandomForest,twise,17.93,15.69,16.67
6,Dune,ElasticNet,None,twise,15.90,13.60,13.50
7,Dune,ElasticNet,RandomForest,twise,17.75,15.79,16.34
8,Dune,RandomForest,None,twise,5.49,4.75,4.76
9,Dune,RandomForest,RandomForest,twise,9.35,8.90,9.58
10,Dune,PolynomialRegression,None,twise,nan,nan,nan
11,Dune,PolynomialRegression,RandomForest,twise,12.21,11.13,11.11
